Error Message
"etcd W0210 16:23:41.968148  logging.go:59] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: ""localhost:2379"", ServerName: ""localhost:2379"", }. Err: connection error: desc = ""transport: Error while dialing: dial tcp [::1]:2379: connect: connection refused"""
"etcd W0210 16:24:02.970159  logging.go:59] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: ""localhost:2379"", ServerName: ""localhost:2379"", }. Err: connection error: desc = ""transport: authentication handshake failed: context deadline exceeded"""
"kube-apiserver I0210 16:24:15.474005  kube-apiserver.go:330] ""kube-apiserver"" not yet ready: an error on the server (""[+]ping ok\n[+]log ok\n[+]etcd ok\n[+]etcd-readiness ok\n[+]api-openshift-apiserver-available ok\n[+]api-openshift-oauth-apiserver-available ok\n[+]informer-sync ok\n[+]poststarthook/openshift.io-startkubeinformers ok\n[+]poststarthook/openshift.io-openshift-apiserver-reachable ok\n[+]poststarthook/openshift.io-oauth-apiserver-reachable ok\n[+]poststarthook/start-kube-apiserver-admission-initializer ok\n[+]poststarthook/generic-apiserver-start-informers ok\n[+]poststarthook/priority-and-fairness-config-consumer ok\n[+]poststarthook/priority-and-fairness-filter ok\n[+]poststarthook/storage-object-count-tracker-hook ok\n[+]poststarthook/start-apiextensions-informers ok\n[+]poststarthook/start-apiextensions-controllers ok\n[+]poststarthook/crd-informer-synced ok\n[+]poststarthook/start-system-namespaces-controller ok\n[+]poststarthook/bootstrap-controller ok\n[-]poststarthook/rbac/bootstrap-roles failed: reason withheld\n[+]poststarthook/scheduling/bootstrap-system-priority-classes ok\n[+]poststarthook/priority-and-fairness-config-producer ok\n[+]poststarthook/start-cluster-authentication-info-controller ok\n[+]poststarthook/start-kube-apiserver-identity-lease-controller ok\n[+]poststarthook/start-deprecated-kube-apiserver-identity-lease-garbage-collector ok\n[+]poststarthook/start-kube-apiserver-identity-lease-garbage-collector ok\n[+]poststarthook/start-legacy-token-tracking-controller ok\n[+]poststarthook/aggregator-reload-proxy-client-cert ok\n[+]poststarthook/start-kube-aggregator-informers ok\n[+]poststarthook/apiservice-registration-controller ok\n[+]poststarthook/apiservice-status-available-controller ok\n[+]poststarthook/apiservice-wait-for-first-sync ok\n[+]poststarthook/kube-apiserver-autoregistration ok\n[+]autoregister-completion ok\n[+]poststarthook/apiservice-openapi-controller ok\n[+]poststarthook/apiservice-openapiv3-controller ok\n[+]poststarthook/apiservice-discovery-controller ok\n[+]shutdown ok\nreadyz check failed"") has prevented the request from succeeding"
"kubelet W0210 16:24:31.671746  logging.go:59] [core] [Channel #223 SubChannel #224] grpc: addrConn.createTransport failed to connect to {Addr: ""/var/lib/kubelet/plugins_registry/topolvm.io-reg.sock"", ServerName: ""%2Fvar%2Flib%2Fkubelet%2Fplugins_registry%2Ftopolvm.io-reg.sock"", }. Err: connection error: desc = ""transport: Error while dialing: dial unix /var/lib/kubelet/plugins_registry/topolvm.io-reg.sock: connect: connection refused"""
kubelet W0210 16:24:33.583460  manager.go:1159] Failed to process watch event {EventType:0 Name:/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod4db0960c_5143_4e79_859d_1c4a8e1ee845.slice/crio-03d539599787dc1bc1dd7f2f7c6ac0fe7acab4a123d59dc778cbf41e3e6e8e34 WatchSource:0}: Error finding container 03d539599787dc1bc1dd7f2f7c6ac0fe7acab4a123d59dc778cbf41e3e6e8e34: Status 404 returned error can't find the container with id 03d539599787dc1bc1dd7f2f7c6ac0fe7acab4a123d59dc778cbf41e3e6e8e34
"kubelet E0210 16:24:33.823709  remote_runtime.go:176] ""RunPodSandbox from runtime service failed"" err=""rpc error: code = Unknown desc = failed to create pod network sandbox k8s_topolvm-controller-7777db9485-jtb46_openshift-storage_5960c4d5-6616-41d7-be5e-ca0a31bec41c_0(dbdc595d80ae32f36e26c67e2ab74577730acc54922863fd81fed4c1f8d5726f): error adding pod openshift-storage_topolvm-controller-7777db9485-jtb46 to CNI network \""ovn-kubernetes\"": plugin type=\""ovn-k8s-cni-overlay\"" name=\""ovn-kubernetes\"" failed (add): failed to send CNI request: Post \""http://dummy/\"": dial unix /var/run/ovn-kubernetes/cni//ovn-cni-server.sock: connect: no such file or directory"""
"kubelet E0210 16:24:33.823903  kuberuntime_manager.go:1122] ""CreatePodSandbox for pod failed"" err=""rpc error: code = Unknown desc = failed to create pod network sandbox k8s_topolvm-controller-7777db9485-jtb46_openshift-storage_5960c4d5-6616-41d7-be5e-ca0a31bec41c_0(dbdc595d80ae32f36e26c67e2ab74577730acc54922863fd81fed4c1f8d5726f): error adding pod openshift-storage_topolvm-controller-7777db9485-jtb46 to CNI network \""ovn-kubernetes\"": plugin type=\""ovn-k8s-cni-overlay\"" name=\""ovn-kubernetes\"" failed (add): failed to send CNI request: Post \""http://dummy/\"": dial unix /var/run/ovn-kubernetes/cni//ovn-cni-server.sock: connect: no such file or directory"" pod=""openshift-storage/topolvm-controller-7777db9485-jtb46"""
"kubelet E0210 16:24:33.824013  pod_workers.go:1300] ""Error syncing pod, skipping"" err=""failed to \""CreatePodSandbox\"" for \""topolvm-controller-7777db9485-jtb46_openshift-storage(5960c4d5-6616-41d7-be5e-ca0a31bec41c)\"" with CreatePodSandboxError: \""Failed to create sandbox for pod \\\""topolvm-controller-7777db9485-jtb46_openshift-storage(5960c4d5-6616-41d7-be5e-ca0a31bec41c)\\\"": rpc error: code = Unknown desc = failed to create pod network sandbox k8s_topolvm-controller-7777db9485-jtb46_openshift-storage_5960c4d5-6616-41d7-be5e-ca0a31bec41c_0(dbdc595d80ae32f36e26c67e2ab74577730acc54922863fd81fed4c1f8d5726f): error adding pod openshift-storage_topolvm-controller-7777db9485-jtb46 to CNI network \\\""ovn-kubernetes\\\"": plugin type=\\\""ovn-k8s-cni-overlay\\\"" name=\\\""ovn-kubernetes\\\"" failed (add): failed to send CNI request: Post \\\""http://dummy/\\\"": dial unix /var/run/ovn-kubernetes/cni//ovn-cni-server.sock: connect: no such file or directory\"""" pod=""openshift-storage/topolvm-controller-7777db9485-jtb46"" podUID=""5960c4d5-6616-41d7-be5e-ca0a31bec41c"""
"kubelet E0210 16:24:34.040438  remote_runtime.go:176] ""RunPodSandbox from runtime service failed"" err=""rpc error: code = Unknown desc = failed to create pod network sandbox k8s_kepler-exporter-ds-gxqbx_kepler_fb8b6ef3-37df-4679-a052-84b072ce3ebd_0(4b430ab802829fd0d4cb693c971ab3869ef3c317924b8bd71efed9e43f8b388b): error adding pod kepler_kepler-exporter-ds-gxqbx to CNI network \""ovn-kubernetes\"": plugin type=\""ovn-k8s-cni-overlay\"" name=\""ovn-kubernetes\"" failed (add): failed to send CNI request: Post \""http://dummy/\"": dial unix /var/run/ovn-kubernetes/cni//ovn-cni-server.sock: connect: no such file or directory"""
"kubelet E0210 16:24:34.040599  kuberuntime_manager.go:1122] ""CreatePodSandbox for pod failed"" err=""rpc error: code = Unknown desc = failed to create pod network sandbox k8s_kepler-exporter-ds-gxqbx_kepler_fb8b6ef3-37df-4679-a052-84b072ce3ebd_0(4b430ab802829fd0d4cb693c971ab3869ef3c317924b8bd71efed9e43f8b388b): error adding pod kepler_kepler-exporter-ds-gxqbx to CNI network \""ovn-kubernetes\"": plugin type=\""ovn-k8s-cni-overlay\"" name=\""ovn-kubernetes\"" failed (add): failed to send CNI request: Post \""http://dummy/\"": dial unix /var/run/ovn-kubernetes/cni//ovn-cni-server.sock: connect: no such file or directory"" pod=""kepler/kepler-exporter-ds-gxqbx"""
